   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 5 : Time = 4.000541
 Number         5
  238357  0.15113E+03
  238358  0.15068E+03
  238359  0.15030E+03
  238360  0.15015E+03
  238361  0.15033E+03
  238362  0.15097E+03
  238363  0.15216E+03
  238364  0.15384E+03
  238365  0.15599E+03
  238366  0.15868E+03
  238367  0.16204E+03
  238368  0.16615E+03
  238369  0.17113E+03
  238370  0.17720E+03
  238371  0.18462E+03
  238372  0.19351E+03
  238373  0.20392E+03
  238374  0.21597E+03
  238375  0.22962E+03
  238376  0.24409E+03
  238377  0.25816E+03
  238378  0.27120E+03
  238379  0.28297E+03
  238380  0.29332E+03
  238381  0.30224E+03
  238382  0.30974E+03
  238383  0.31585E+03
  238384  0.32047E+03
  238385  0.32354E+03
  238386  0.32508E+03
  238387  0.14446E+03
  238388  0.14493E+03
  238389  0.14580E+03
  238390  0.14700E+03
  238391  0.14846E+03
  238392  0.15011E+03
  238393  0.15234E+03
  238394  0.15579E+03
  238395  0.16034E+03
  238396  0.16546E+03
  238397  0.17062E+03
  238398  0.17537E+03
  238399  0.17952E+03
  238400  0.18301E+03
  238401  0.18580E+03
  238402  0.18781E+03
  238403  0.18903E+03
  238404  0.18948E+03
  238405  0.18913E+03
  238406  0.18798E+03
  238407  0.18606E+03
  238408  0.18334E+03
  238409  0.17987E+03
  238410  0.17593E+03
  238411  0.17203E+03
  238412  0.16855E+03
  238413  0.16544E+03
  238414  0.16251E+03
  238415  0.15979E+03
  238416  0.15730E+03
  238417  0.15510E+03
  238418  0.15317E+03
  238419  0.15147E+03
  238420  0.14994E+03
  238421  0.14854E+03
  238422  0.14722E+03
  238423  0.14601E+03
  238424  0.14496E+03
  238425  0.14409E+03
  238426  0.14335E+03
  238427  0.14263E+03
  238428  0.14196E+03
  238429  0.14140E+03
  238430  0.14096E+03
  238431  0.14067E+03
  238432  0.14054E+03
  238433  0.14056E+03
  238434  0.14077E+03
  238435  0.14116E+03
  238436  0.14178E+03
  238437  0.14260E+03
  238438  0.14357E+03
  238439  0.14466E+03
  238440  0.14583E+03
  238441  0.14708E+03
  238442  0.14840E+03
  238443  0.14980E+03
  238444  0.15131E+03
  238445  0.15292E+03
  238446  0.15456E+03
  238447  0.15620E+03
  238448  0.15770E+03
  238449  0.15894E+03
  238450  0.15985E+03
  238451  0.16050E+03
  238452  0.16111E+03
  238453  0.16182E+03
  238454  0.16271E+03
  238455  0.16381E+03
  238456  0.16496E+03
  238457  0.16621E+03
  238458  0.16750E+03
  238459  0.16874E+03
  238460  0.16984E+03
  238461  0.17069E+03
  238462  0.17129E+03
  238463  0.17168E+03
  238464  0.17195E+03
  238465  0.17218E+03
  238466  0.17240E+03
  238467  0.17262E+03
  238468  0.17283E+03
  238469  0.17303E+03
  238470  0.17321E+03
  238471  0.17336E+03
  238472  0.17347E+03
  238473  0.17356E+03
  238474  0.17368E+03
  238475  0.17382E+03
  238476  0.17399E+03
  238477  0.17416E+03
  238478  0.17432E+03
  238479  0.17447E+03
  238480  0.17458E+03
  238481  0.17466E+03
  238482  0.17470E+03
  238483  0.17469E+03
  238484  0.17460E+03
  238485  0.17442E+03
  238486  0.17416E+03
  238487  0.17379E+03
  238488  0.17331E+03
  238489  0.17268E+03
  238490  0.17187E+03
  238491  0.17086E+03
  238492  0.16965E+03
  238493  0.16827E+03
  238494  0.16676E+03
  238495  0.16523E+03
  238496  0.16367E+03
  238497  0.16223E+03
  238498  0.16107E+03
  238499  0.16004E+03
  238500  0.15911E+03
  238501  0.15824E+03
  238502  0.15739E+03
  238503  0.15656E+03
  238504  0.15574E+03
  238505  0.15496E+03
  238506  0.15418E+03
  238507  0.15337E+03
  238508  0.15260E+03
  238509  0.15186E+03
  238510  0.15111E+03
  238511  0.15043E+03
  238512  0.14990E+03
  238513  0.14946E+03
  238514  0.14913E+03
  238515  0.14902E+03
  238516  0.14925E+03
  238517  0.14995E+03
  238518  0.15118E+03
  238519  0.15291E+03
  238520  0.15512E+03
  238521  0.15790E+03
  238522  0.16135E+03
  238523  0.16554E+03
  238524  0.17059E+03
  238525  0.17674E+03
  238526  0.18422E+03
  238527  0.19317E+03
  238528  0.20364E+03
  238529  0.21575E+03
  238530  0.22945E+03
  238531  0.24393E+03
  238532  0.25800E+03
  238533  0.27106E+03
  238534  0.28284E+03
  238535  0.29323E+03
  238536  0.30220E+03
  238537  0.30976E+03
  238538  0.31591E+03
  238539  0.32058E+03
  238540  0.32369E+03
  238541  0.32524E+03
  238542  0.13699E+03
  238543  0.13746E+03
  238544  0.13830E+03
  238545  0.13944E+03
  238546  0.14084E+03
  238547  0.14249E+03
  238548  0.14451E+03
  238549  0.14774E+03
  238550  0.15234E+03
  238551  0.15760E+03
  238552  0.16318E+03
  238553  0.16854E+03
  238554  0.17336E+03
  238555  0.17754E+03
  238556  0.18099E+03
  238557  0.18364E+03
  238558  0.18550E+03
  238559  0.18651E+03
  238560  0.18668E+03
  238561  0.18604E+03
  238562  0.18456E+03
  238563  0.18225E+03
  238564  0.17919E+03
  238565  0.17547E+03
  238566  0.17155E+03
  238567  0.16798E+03
  238568  0.16482E+03
  238569  0.16192E+03
  238570  0.15921E+03
  238571  0.15674E+03
  238572  0.15454E+03
  238573  0.15261E+03
  238574  0.15090E+03
  238575  0.14937E+03
  238576  0.14800E+03
  238577  0.14675E+03
  238578  0.14563E+03
  238579  0.14465E+03
  238580  0.14386E+03
  238581  0.14324E+03
  238582  0.14270E+03
  238583  0.14218E+03
  238584  0.14175E+03
  238585  0.14144E+03
  238586  0.14129E+03
  238587  0.14129E+03
  238588  0.14143E+03
  238589  0.14171E+03
  238590  0.14213E+03
  238591  0.14272E+03
  238592  0.14350E+03
  238593  0.14444E+03
  238594  0.14547E+03
  238595  0.14655E+03
  238596  0.14769E+03
  238597  0.14887E+03
  238598  0.15009E+03
  238599  0.15140E+03
  238600  0.15279E+03
  238601  0.15421E+03
  238602  0.15563E+03
  238603  0.15697E+03
  238604  0.15815E+03
  238605  0.15916E+03
  238606  0.16005E+03
  238607  0.16090E+03
  238608  0.16181E+03
  238609  0.16281E+03
  238610  0.16389E+03
  238611  0.16501E+03
  238612  0.16614E+03
  238613  0.16724E+03
  238614  0.16827E+03
  238615  0.16917E+03
  238616  0.16988E+03
  238617  0.17041E+03
  238618  0.17080E+03
  238619  0.17111E+03
  238620  0.17136E+03
  238621  0.17159E+03
  238622  0.17181E+03
  238623  0.17201E+03
  238624  0.17219E+03
  238625  0.17235E+03
  238626  0.17248E+03
  238627  0.17259E+03
  238628  0.17269E+03
  238629  0.17280E+03
  238630  0.17295E+03
  238631  0.17312E+03
  238632  0.17324E+03
  238633  0.17330E+03
  238634  0.17331E+03
  238635  0.17332E+03
  238636  0.17336E+03
  238637  0.17342E+03
  238638  0.17345E+03
  238639  0.17336E+03
  238640  0.17313E+03
  238641  0.17280E+03
  238642  0.17235E+03
  238643  0.17179E+03
  238644  0.17108E+03
  238645  0.17021E+03
  238646  0.16917E+03
  238647  0.16797E+03
  238648  0.16662E+03
  238649  0.16516E+03
  238650  0.16369E+03
  238651  0.16228E+03
  238652  0.16101E+03
  238653  0.15986E+03
  238654  0.15883E+03
  238655  0.15790E+03
  238656  0.15703E+03
  238657  0.15620E+03
  238658  0.15538E+03
  238659  0.15459E+03
  238660  0.15382E+03
  238661  0.15304E+03
  238662  0.15224E+03
  238663  0.15148E+03
  238664  0.15073E+03
  238665  0.14998E+03
  238666  0.14930E+03
  238667  0.14875E+03
  238668  0.14831E+03
  238669  0.14803E+03
  238670  0.14800E+03
  238671  0.14829E+03
  238672  0.14905E+03
  238673  0.15033E+03
  238674  0.15210E+03
  238675  0.15438E+03
  238676  0.15723E+03
  238677  0.16076E+03
  238678  0.16504E+03
  238679  0.17017E+03
  238680  0.17640E+03
  238681  0.18396E+03
  238682  0.19299E+03
  238683  0.20353E+03
  238684  0.21570E+03
  238685  0.22946E+03
  238686  0.24397E+03
  238687  0.25804E+03
  238688  0.27110E+03
  238689  0.28290E+03
  238690  0.29331E+03
  238691  0.30232E+03
  238692  0.30993E+03
  238693  0.31612E+03
  238694  0.32082E+03
  238695  0.32396E+03
  238696  0.32552E+03
  238697  0.13001E+03
  238698  0.13046E+03
  238699  0.13124E+03
  238700  0.13227E+03
  238701  0.13352E+03
  238702  0.13509E+03
  238703  0.13695E+03
  238704  0.13979E+03
  238705  0.14430E+03
  238706  0.14976E+03
  238707  0.15562E+03
  238708  0.16149E+03
  238709  0.16696E+03
  238710  0.17180E+03
  238711  0.17592E+03
  238712  0.17927E+03
  238713  0.18177E+03
  238714  0.18340E+03
  238715  0.18418E+03
  238716  0.18407E+03
  238717  0.18308E+03
  238718  0.18126E+03
  238719  0.17862E+03
  238720  0.17522E+03
  238721  0.17143E+03
  238722  0.16776E+03
  238723  0.16452E+03
  238724  0.16162E+03
  238725  0.15893E+03
  238726  0.15646E+03
  238727  0.15424E+03
  238728  0.15227E+03
  238729  0.15053E+03
  238730  0.14899E+03
  238731  0.14764E+03
  238732  0.14646E+03
  238733  0.14541E+03
  238734  0.14448E+03
  238735  0.14372E+03
  238736  0.14314E+03
  238737  0.14272E+03
  238738  0.14236E+03
  238739  0.14205E+03
  238740  0.14186E+03
  238741  0.14183E+03
  238742  0.14194E+03
  238743  0.14218E+03
  238744  0.14251E+03
  238745  0.14295E+03
  238746  0.14353E+03
  238747  0.14426E+03
  238748  0.14515E+03
  238749  0.14613E+03
  238750  0.14716E+03
  238751  0.14822E+03
  238752  0.14931E+03
  238753  0.15042E+03
  238754  0.15156E+03
  238755  0.15278E+03
  238756  0.15403E+03
  238757  0.15529E+03
  238758  0.15650E+03
  238759  0.15764E+03
  238760  0.15869E+03
  238761  0.15968E+03
  238762  0.16065E+03
  238763  0.16165E+03
  238764  0.16268E+03
  238765  0.16373E+03
  238766  0.16479E+03
  238767  0.16583E+03
  238768  0.16681E+03
  238769  0.16770E+03
  238770  0.16847E+03
  238771  0.16911E+03
  238772  0.16962E+03
  238773  0.17002E+03
  238774  0.17035E+03
  238775  0.17063E+03
  238776  0.17088E+03
  238777  0.17110E+03
  238778  0.17130E+03
  238779  0.17148E+03
  238780  0.17163E+03
  238781  0.17176E+03
  238782  0.17187E+03
  238783  0.17198E+03
  238784  0.17210E+03
  238785  0.17223E+03
  238786  0.17237E+03
  238787  0.17247E+03
  238788  0.17250E+03
  238789  0.17248E+03
  238790  0.17244E+03
  238791  0.17243E+03
  238792  0.17244E+03
  238793  0.17241E+03
  238794  0.17227E+03
