   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_03_Stamping
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 9 : Prog. = 85.709778
 Number         9
  238390  0.47543E+03
  238391  0.47538E+03
  238392  0.47535E+03
  238393  0.47527E+03
  238394  0.47503E+03
  238395  0.47445E+03
  238396  0.47297E+03
  238397  0.47076E+03
  238398  0.46642E+03
  238399  0.45851E+03
  238400  0.44935E+03
  238401  0.44467E+03
  238402  0.44555E+03
  238403  0.44892E+03
  238404  0.45250E+03
  238405  0.45463E+03
  238406  0.45593E+03
  238407  0.45663E+03
  238408  0.45684E+03
  238409  0.45710E+03
  238410  0.45793E+03
  238411  0.45837E+03
  238412  0.45731E+03
  238413  0.45607E+03
  238414  0.45493E+03
  238415  0.45310E+03
  238416  0.45193E+03
  238417  0.45334E+03
  238418  0.45701E+03
  238419  0.46129E+03
  238420  0.46482E+03
  238421  0.46601E+03
  238422  0.46103E+03
  238423  0.45801E+03
  238424  0.45456E+03
  238425  0.44544E+03
  238426  0.44095E+03
  238427  0.43390E+03
  238428  0.43246E+03
  238429  0.45231E+03
  238430  0.47286E+03
  238431  0.48126E+03
  238432  0.48500E+03
  238433  0.48646E+03
  238434  0.48705E+03
  238435  0.48732E+03
  238436  0.48749E+03
  238437  0.48765E+03
  238438  0.48783E+03
  238439  0.48800E+03
  238440  0.48811E+03
  238441  0.48810E+03
  238442  0.48797E+03
  238443  0.48766E+03
  238444  0.48704E+03
  238445  0.48594E+03
  238446  0.48423E+03
  238447  0.48188E+03
  238448  0.47900E+03
  238449  0.47600E+03
  238450  0.47373E+03
  238451  0.47293E+03
  238452  0.47366E+03
  238453  0.47530E+03
  238454  0.47721E+03
  238455  0.47909E+03
  238456  0.48090E+03
  238457  0.48258E+03
  238458  0.48393E+03
  238459  0.48482E+03
  238460  0.48527E+03
  238461  0.48549E+03
  238462  0.48560E+03
  238463  0.48569E+03
  238464  0.48578E+03
  238465  0.48586E+03
  238466  0.48593E+03
  238467  0.48599E+03
  238468  0.48603E+03
  238469  0.48606E+03
  238470  0.48608E+03
  238471  0.48609E+03
  238472  0.48608E+03
  238473  0.48607E+03
  238474  0.48606E+03
  238475  0.48605E+03
  238476  0.48603E+03
  238477  0.48602E+03
  238478  0.48600E+03
  238479  0.48596E+03
  238480  0.48590E+03
  238481  0.48582E+03
  238482  0.48574E+03
  238483  0.48564E+03
  238484  0.48544E+03
  238485  0.48494E+03
  238486  0.48365E+03
  238487  0.48128E+03
  238488  0.47833E+03
  238489  0.47563E+03
  238490  0.47341E+03
  238491  0.47118E+03
  238492  0.46876E+03
  238493  0.46690E+03
  238494  0.46667E+03
  238495  0.46880E+03
  238496  0.47292E+03
  238497  0.47773E+03
  238498  0.48188E+03
  238499  0.48477E+03
  238500  0.48652E+03
  238501  0.48749E+03
  238502  0.48796E+03
  238503  0.48812E+03
  238504  0.48807E+03
  238505  0.48786E+03
  238506  0.48761E+03
  238507  0.48727E+03
  238508  0.48651E+03
  238509  0.48434E+03
  238510  0.47794E+03
  238511  0.46084E+03
  238512  0.44057E+03
  238513  0.43905E+03
  238514  0.45150E+03
  238515  0.45901E+03
  238516  0.45852E+03
  238517  0.45627E+03
  238518  0.45396E+03
  238519  0.44923E+03
  238520  0.44608E+03
  238521  0.44599E+03
  238522  0.44634E+03
  238523  0.44537E+03
  238524  0.44387E+03
  238525  0.44491E+03
  238526  0.44733E+03
  238527  0.44917E+03
  238528  0.45162E+03
  238529  0.45406E+03
  238530  0.45528E+03
  238531  0.45558E+03
  238532  0.45544E+03
  238533  0.45483E+03
  238534  0.45423E+03
  238535  0.45358E+03
  238536  0.45536E+03
  238537  0.45923E+03
  238538  0.46201E+03
  238539  0.46499E+03
  238540  0.46798E+03
  238541  0.46944E+03
  238542  0.47596E+03
  238543  0.47618E+03
  238544  0.47629E+03
  238545  0.47634E+03
  238546  0.47630E+03
  238547  0.47627E+03
  238548  0.47624E+03
  238549  0.47614E+03
  238550  0.47587E+03
  238551  0.47482E+03
  238552  0.47314E+03
  238553  0.46935E+03
  238554  0.46213E+03
  238555  0.45186E+03
  238556  0.44536E+03
  238557  0.44532E+03
  238558  0.44827E+03
  238559  0.45258E+03
  238560  0.45540E+03
  238561  0.45676E+03
  238562  0.45729E+03
  238563  0.45734E+03
  238564  0.45727E+03
  238565  0.45778E+03
  238566  0.45855E+03
  238567  0.45602E+03
  238568  0.45224E+03
  238569  0.45192E+03
  238570  0.45160E+03
  238571  0.45074E+03
  238572  0.45308E+03
  238573  0.45759E+03
  238574  0.46161E+03
  238575  0.46442E+03
